2012.07.09,00:00,1.54783,1.55345,1.54700,1.55270,45407
2012.07.10,00:00,1.55273,1.55489,1.54783,1.55154,70411
2012.07.11,00:00,1.55148,1.55778,1.54857,1.55080,48818
2012.07.12,00:00,1.55079,1.55162,1.53932,1.54233,41673
2012.07.13,00:00,1.54241,1.55799,1.54136,1.55741,42423
2012.07.16,00:00,1.55802,1.56540,1.55168,1.56246,61171
2012.07.17,00:00,1.56247,1.56783,1.55542,1.56635,71311
2012.07.18,00:00,1.56633,1.56682,1.55810,1.56459,70535
2012.07.19,00:00,1.56460,1.57376,1.56359,1.57156,72805
2012.07.20,00:00,1.57157,1.57187,1.56116,1.56193,65981
2012.07.23,00:00,1.56094,1.56108,1.54850,1.55155,79404
2012.07.24,00:00,1.55156,1.55520,1.54865,1.54980,80023
2012.07.25,00:00,1.54981,1.55513,1.54589,1.54846,81969
2012.07.26,00:00,1.54845,1.57239,1.54707,1.56820,87877
2012.07.27,00:00,1.56817,1.57678,1.56664,1.57424,84631
2012.07.30,00:00,1.57262,1.57318,1.56724,1.57113,68275
2012.07.31,00:00,1.57112,1.57300,1.56253,1.56667,74444
2012.08.01,00:00,1.56663,1.56907,1.55305,1.55423,74722
2012.08.02,00:00,1.55425,1.56782,1.54908,1.55129,70415
2012.08.03,00:00,1.55127,1.56567,1.55046,1.56411,63185
2012.08.06,00:00,1.56530,1.56530,1.55465,1.55874,58705
2012.08.07,00:00,1.55862,1.56836,1.55644,1.56116,48223
2012.08.08,00:00,1.56121,1.56768,1.55726,1.56674,39932
2012.08.09,00:00,1.56668,1.56850,1.56057,1.56292,43165
2012.08.10,00:00,1.56289,1.57012,1.55771,1.56866,69505
2012.08.13,00:00,1.56659,1.57170,1.56567,1.56756,62278
2012.08.14,00:00,1.56756,1.57285,1.56698,1.56743,60645
2012.08.15,00:00,1.56745,1.57016,1.56605,1.56783,63619
2012.08.16,00:00,1.56782,1.57443,1.56363,1.57345,68478
2012.08.17,00:00,1.57348,1.57388,1.56743,1.56938,64561
2012.08.20,00:00,1.56877,1.57170,1.56784,1.57095,57054
2012.08.21,00:00,1.57091,1.58045,1.57059,1.57766,75126
2012.08.22,00:00,1.57766,1.58866,1.57680,1.58825,69909
2012.08.23,00:00,1.58825,1.59127,1.58529,1.58572,75919
2012.08.24,00:00,1.58570,1.58696,1.58019,1.58083,59138
2012.08.26,00:00,1.58038,1.58060,1.57998,1.58001,488
2012.08.27,00:00,1.58012,1.58284,1.57864,1.57906,38632
2012.08.28,00:00,1.57906,1.58360,1.57543,1.58252,70190
2012.08.29,00:00,1.58242,1.58548,1.58024,1.58257,46388
2012.08.30,00:00,1.58264,1.58745,1.57709,1.57867,41139
2012.08.31,00:00,1.57878,1.58954,1.57778,1.58643,78128
2012.09.02,00:00,1.58763,1.58813,1.58652,1.58655,4373
2012.09.03,00:00,1.58658,1.58979,1.58496,1.58788,49289
2012.09.04,00:00,1.58793,1.59086,1.58552,1.58639,66631
2012.09.05,00:00,1.58638,1.59341,1.58259,1.59026,81092
2012.09.06,00:00,1.59024,1.59428,1.58810,1.59315,80608
2012.09.07,00:00,1.59316,1.60338,1.59223,1.60047,83294
2012.09.09,00:00,1.60125,1.60174,1.60052,1.60068,3252
2012.09.10,00:00,1.60068,1.60177,1.59593,1.59909,63322
2012.09.11,00:00,1.59913,1.60835,1.59911,1.60718,76483
2012.09.12,00:00,1.60713,1.61308,1.60635,1.61053,90501
2012.09.13,00:00,1.61057,1.61741,1.60659,1.61514,86522
2012.09.14,00:00,1.61517,1.62558,1.61502,1.62186,88513
2012.09.16,00:00,1.62196,1.62354,1.62175,1.62227,3384
2012.09.17,00:00,1.62227,1.62731,1.62105,1.62399,67548
2012.09.18,00:00,1.62399,1.62672,1.62205,1.62428,79310
2012.09.19,00:00,1.62426,1.62709,1.61847,1.62313,79351
2012.09.20,00:00,1.62305,1.62357,1.61646,1.62209,90928
2012.09.21,00:00,1.62204,1.63083,1.62123,1.62261,89385
2012.09.23,00:00,1.62331,1.62481,1.62300,1.62301,2172
2012.09.24,00:00,1.62304,1.62432,1.61818,1.62239,68488
2012.09.25,00:00,1.62227,1.62672,1.61828,1.61916,86572
2012.09.26,00:00,1.61914,1.62089,1.61367,1.61738,84115
2012.09.27,00:00,1.61734,1.62434,1.61658,1.62308,97267
2012.09.28,00:00,1.62303,1.62719,1.61126,1.61638,103282
2012.09.30,00:00,1.61439,1.61579,1.61172,1.61213,4792
2012.10.01,00:00,1.61231,1.61747,1.61083,1.61304,86457
2012.10.02,00:00,1.61304,1.61867,1.61245,1.61285,80614
2012.10.03,00:00,1.61285,1.61421,1.60669,1.61000,84635
2012.10.04,00:00,1.60998,1.62025,1.60824,1.61835,89099
2012.10.05,00:00,1.61843,1.62169,1.61227,1.61326,73275
2012.10.07,00:00,1.61316,1.61415,1.61297,1.61349,2318
2012.10.08,00:00,1.61346,1.61377,1.60194,1.60239,77051
2012.10.09,00:00,1.60237,1.60458,1.59761,1.59967,90399
2012.10.10,00:00,1.59967,1.60341,1.59762,1.60052,84299
2012.10.11,00:00,1.60050,1.60538,1.59842,1.60465,73626
2012.10.12,00:00,1.60463,1.60971,1.60183,1.60651,76617
2012.10.14,00:00,1.60661,1.60825,1.60661,1.60711,1126
2012.10.15,00:00,1.60709,1.60782,1.60210,1.60712,77444
2012.10.16,00:00,1.60715,1.61332,1.60603,1.61152,78884
2012.10.17,00:00,1.61141,1.61780,1.61136,1.61389,77480
2012.10.18,00:00,1.61389,1.61707,1.60409,1.60559,79505
2012.10.19,00:00,1.60560,1.60666,1.59971,1.59984,59408
2012.10.21,00:00,1.60119,1.60125,1.59926,1.60016,1279
2012.10.22,00:00,1.60018,1.60519,1.59906,1.60167,33853
2012.10.23,00:00,1.60165,1.60235,1.59129,1.59470,56896
2012.10.24,00:00,1.59472,1.60477,1.59359,1.60329,87076
